,index,y
588,2017-08-11,
589,2017-08-12,
590,2017-08-13,
591,2017-08-14,
592,2017-08-15,
593,2017-08-16,
594,2017-08-17,
595,2017-08-18,
596,2017-08-19,
597,2017-08-20,
598,2017-08-21,
599,2017-08-22,
600,2017-08-23,
601,2017-08-24,
602,2017-08-25,
603,2017-08-26,
604,2017-08-27,
605,2017-08-28,
606,2017-08-29,
607,2017-08-30,
608,2017-08-31,
609,2017-09-01,
610,2017-09-02,
611,2017-09-03,
612,2017-09-04,
613,2017-09-05,
614,2017-09-06,
615,2017-09-07,
616,2017-09-08,
617,2017-09-09,
618,2017-09-10,
619,2017-09-11,
620,2017-09-12,
621,2017-09-13,
622,2017-09-14,
623,2017-09-15,
624,2017-09-16,
625,2017-09-17,
626,2017-09-18,
627,2017-09-19,
628,2017-09-20,
629,2017-09-21,
630,2017-09-22,
631,2017-09-23,
632,2017-09-24,
633,2017-09-25,
634,2017-09-26,
635,2017-09-27,
636,2017-09-28,
637,2017-09-29,
638,2017-09-30,
639,2017-10-01,
640,2017-10-02,
641,2017-10-03,
642,2017-10-04,
643,2017-10-05,
644,2017-10-06,
645,2017-10-07,
646,2017-10-08,
647,2017-10-09,
648,2017-10-10,
649,2017-10-11,
650,2017-10-12,
651,2017-10-13,
652,2017-10-14,
653,2017-10-15,
654,2017-10-16,
655,2017-10-17,
656,2017-10-18,
657,2017-10-19,
658,2017-10-20,
659,2017-10-21,
660,2017-10-22,
661,2017-10-23,
662,2017-10-24,
663,2017-10-25,
664,2017-10-26,
665,2017-10-27,
666,2017-10-28,
667,2017-10-29,
668,2017-10-30,
669,2017-10-31,
670,2017-11-01,
671,2017-11-02,
672,2017-11-03,
673,2017-11-04,
674,2017-11-05,
675,2017-11-06,
676,2017-11-07,
677,2017-11-08,
678,2017-11-09,
679,2017-11-10,
680,2017-11-11,
681,2017-11-12,
682,2017-11-13,
683,2017-11-14,
684,2017-11-15,
685,2017-11-16,
686,2017-11-17,
687,2017-11-18,
688,2017-11-19,
689,2017-11-20,
690,2017-11-21,
691,2017-11-22,
692,2017-11-23,
693,2017-11-24,
694,2017-11-25,
695,2017-11-26,
696,2017-11-27,
697,2017-11-28,
698,2017-11-29,
699,2017-11-30,
700,2017-12-01,
701,2017-12-02,
702,2017-12-03,
703,2017-12-04,
704,2017-12-05,
705,2017-12-06,
706,2017-12-07,
707,2017-12-08,
708,2017-12-09,
709,2017-12-10,
710,2017-12-11,
711,2017-12-12,
712,2017-12-13,
713,2017-12-14,
714,2017-12-15,
715,2017-12-16,
716,2017-12-17,
717,2017-12-18,
718,2017-12-19,
719,2017-12-20,
720,2017-12-21,
721,2017-12-22,
722,2017-12-23,
723,2017-12-24,
724,2017-12-25,
725,2017-12-26,
726,2017-12-27,
727,2017-12-28,
728,2017-12-29,
729,2017-12-30,
730,2017-12-31,
731,2018-01-01,
732,2018-01-02,
733,2018-01-03,
734,2018-01-04,
735,2018-01-05,
736,2018-01-06,
737,2018-01-07,
738,2018-01-08,
739,2018-01-09,
740,2018-01-10,
741,2018-01-11,
742,2018-01-12,
743,2018-01-13,
744,2018-01-14,
745,2018-01-15,
746,2018-01-16,
747,2018-01-17,
748,2018-01-18,
749,2018-01-19,
750,2018-01-20,
751,2018-01-21,
752,2018-01-22,
753,2018-01-23,
754,2018-01-24,
755,2018-01-25,
756,2018-01-26,
757,2018-01-27,
758,2018-01-28,
759,2018-01-29,
760,2018-01-30,
761,2018-01-31,
762,2018-02-01,
763,2018-02-02,
764,2018-02-03,
765,2018-02-04,
766,2018-02-05,
767,2018-02-06,
768,2018-02-07,
769,2018-02-08,
770,2018-02-09,
771,2018-02-10,
772,2018-02-11,
773,2018-02-12,
774,2018-02-13,
775,2018-02-14,
776,2018-02-15,
777,2018-02-16,
778,2018-02-17,
779,2018-02-18,
780,2018-02-19,
781,2018-02-20,
782,2018-02-21,
783,2018-02-22,
784,2018-02-23,
785,2018-02-24,
786,2018-02-25,
787,2018-02-26,
788,2018-02-27,
789,2018-02-28,
790,2018-03-01,
791,2018-03-02,
792,2018-03-03,
793,2018-03-04,
794,2018-03-05,
795,2018-03-06,
796,2018-03-07,
797,2018-03-08,
798,2018-03-09,
799,2018-03-10,
800,2018-03-11,
801,2018-03-12,
802,2018-03-13,
803,2018-03-14,
804,2018-03-15,
805,2018-03-16,
806,2018-03-17,
807,2018-03-18,
808,2018-03-19,
809,2018-03-20,
810,2018-03-21,
811,2018-03-22,
812,2018-03-23,
813,2018-03-24,
814,2018-03-25,
815,2018-03-26,
816,2018-03-27,
817,2018-03-28,
818,2018-03-29,
819,2018-03-30,
820,2018-03-31,
821,2018-04-01,
822,2018-04-02,
823,2018-04-03,
824,2018-04-04,
825,2018-04-05,
826,2018-04-06,
827,2018-04-07,
828,2018-04-08,
829,2018-04-09,
830,2018-04-10,
831,2018-04-11,
832,2018-04-12,
833,2018-04-13,
834,2018-04-14,
835,2018-04-15,
836,2018-04-16,
837,2018-04-17,
838,2018-04-18,
839,2018-04-19,
840,2018-04-20,
841,2018-04-21,
842,2018-04-22,
843,2018-04-23,
844,2018-04-24,
845,2018-04-25,
846,2018-04-26,
847,2018-04-27,
848,2018-04-28,
849,2018-04-29,
850,2018-04-30,
851,2018-05-01,
852,2018-05-02,
853,2018-05-03,
854,2018-05-04,
855,2018-05-05,
856,2018-05-06,
857,2018-05-07,
858,2018-05-08,
859,2018-05-09,
860,2018-05-10,
861,2018-05-11,
862,2018-05-12,
863,2018-05-13,
864,2018-05-14,
865,2018-05-15,
866,2018-05-16,
867,2018-05-17,
868,2018-05-18,
869,2018-05-19,
870,2018-05-20,
871,2018-05-21,
872,2018-05-22,
873,2018-05-23,
874,2018-05-24,
875,2018-05-25,
876,2018-05-26,
877,2018-05-27,
878,2018-05-28,
879,2018-05-29,
880,2018-05-30,
881,2018-05-31,
882,2018-06-01,
883,2018-06-02,
884,2018-06-03,
885,2018-06-04,
886,2018-06-05,
887,2018-06-06,
888,2018-06-07,
889,2018-06-08,
890,2018-06-09,
891,2018-06-10,
892,2018-06-11,
893,2018-06-12,
894,2018-06-13,
895,2018-06-14,
896,2018-06-15,
897,2018-06-16,
898,2018-06-17,
899,2018-06-18,
900,2018-06-19,
901,2018-06-20,
902,2018-06-21,
903,2018-06-22,
904,2018-06-23,
905,2018-06-24,
906,2018-06-25,
907,2018-06-26,
908,2018-06-27,
909,2018-06-28,
910,2018-06-29,
911,2018-06-30,
912,2018-07-01,
913,2018-07-02,
914,2018-07-03,
915,2018-07-04,
916,2018-07-05,
917,2018-07-06,
918,2018-07-07,
919,2018-07-08,
920,2018-07-09,
921,2018-07-10,
922,2018-07-11,
923,2018-07-12,
924,2018-07-13,
925,2018-07-14,
926,2018-07-15,
927,2018-07-16,
928,2018-07-17,
929,2018-07-18,
930,2018-07-19,
931,2018-07-20,
932,2018-07-21,
933,2018-07-22,
934,2018-07-23,
935,2018-07-24,
936,2018-07-25,
937,2018-07-26,
938,2018-07-27,
939,2018-07-28,
940,2018-07-29,
941,2018-07-30,
942,2018-07-31,
943,2018-08-01,
944,2018-08-02,
945,2018-08-03,
946,2018-08-04,
947,2018-08-05,
948,2018-08-06,
949,2018-08-07,
950,2018-08-08,
951,2018-08-09,
952,2018-08-10,
953,2018-08-11,
954,2018-08-12,
955,2018-08-13,
956,2018-08-14,
957,2018-08-15,
958,2018-08-16,
959,2018-08-17,
960,2018-08-18,
961,2018-08-19,
962,2018-08-20,
963,2018-08-21,
964,2018-08-22,
965,2018-08-23,
966,2018-08-24,
967,2018-08-25,
968,2018-08-26,
969,2018-08-27,
970,2018-08-28,
971,2018-08-29,
972,2018-08-30,
973,2018-08-31,
974,2018-09-01,
975,2018-09-02,
976,2018-09-03,
